id,xcoord,ycoord
"1",254217.617934385,9073880.13492151
"1",254233.080584398,9073906.33932397
"1",254236.912037499,9073910.10235826
"1",254241.838191486,9073913.1127857
"1",254253.195713177,9073922.34932442
"1",254266.126867392,9073932.61214523
"1",254272.147722265,9073936.78569236
"1",254277.621226695,9073940.61714546
"1",254282.684218292,9073945.61171825
"1",254197.023873968,9073986.25248864
"1",254207.149857163,9073992.20492471
"1",254223.29669523,9074003.35718999
"1",254291.168150158,9073950.26419702
"1",254298.557381138,9073954.91667578
"1",254311.146441326,9073965.04265898
"1",254320.451398857,9073973.11607801
"1",254323.940757931,9073976.94753111
"1",254329.41426236,9073978.24748841
"1",254336.80349334,9073983.03680479
"1",254345.287425206,9073987.75770236
"1",254354.660801542,9073992.88911276
"1",254358.08174181,9073996.99424108
"1",254363.281571019,9074000.48360016
"1",254368.960331864,9074004.10979684
"1",254368.755075448,9074017.10936986
"1",254377.239007314,9074024.49860085
"1",254381.754648469,9074013.55159199
"1",254389.964905113,9074018.88825881
"1",254401.117170388,9074020.73556655
"1",254407.548538093,9074029.08266081
"1",254419.384991422,9074030.79313094
"1",254434.505547409,9074039.55073803
"1",254440.457983476,9074048.17150751
"1",254447.915633262,9074041.12437055
"1",254451.404992336,9074042.62958427
"1",254458.178454067,9074055.42390088
"1",254320.040886024,9074065.41304646
"1",254326.814347756,9074071.57073894
"1",254345.219006401,9074099.96454317
"1",254426.637384792,9074149.49975826
"1",254452.362855611,9074161.81514323
"1",254504.634822914,9074206.0136915
"1",254538.570550378,9074227.08668355
"1",254551.433285787,9074235.02326497
"1",254568.401149519,9074242.41249595
"1",254594.947646003,9074254.4542057
"1",254591.937218567,9074272.51677032
"1",254645.440724366,9074188.29322091
"1",254650.298459548,9074193.62988772
"1",254631.688544487,9074186.24065674
"1",254624.299313507,9074180.83557112
"1",254613.899655091,9074175.22522908
"1",254545.275593304,9074127.81099696
"1",254556.154183358,9074137.3212109
"1",254550.475422512,9074145.53146755
"1",254564.296021197,9074142.93155294
"1",254576.679824969,9074146.69458724
"1",254596.042346889,9074156.61531402
"1",254668.703118192,9074212.4450592
"1",254672.534571293,9074218.05540124
"1",254689.536644428,9074239.16260269
"1",254695.318033481,9074243.0282652
"1",254699.559999414,9074246.65446188
"1",254704.72561922,9074232.66281618
"1",254714.270042569,9074237.999483
"1",254615.610125225,9074305.52884391
"1",254624.572988728,9074312.43914325
"1",254643.661835427,9074325.71239149
"1",254675.271323508,9074343.22760567
"1",254726.859102757,9074263.89600084
"1",254735.103568804,9074269.8484369
"1",254744.750620362,9074277.10083027
"1",254764.592073919,9074285.44792453
"1",254796.885750054,9074405.79660317
"1",254817.958742108,9074427.14327045
"1",254802.290835678,9074317.09162201
"1",254810.090579491,9074325.30187866
"1",254821.858614014,9074330.39907966
"1",254824.253272202,9074337.99356705
"1",254828.905750968,9074341.07241329
"1",254834.721349424,9074345.17754162
"1",254942.138873856,9074497.06728954
"1",254852.989170458,9074358.24553344
"1",254870.504384633,9074359.61390955
"1",254867.083444364,9074376.10284164
"1",254877.34626517,9074380.48164519
"1",255236.510783962,9074643.0730202
"1",255798.502851276,9074813.64110199
"1",255812.357659363,9074829.75373065
"1",255838.733108833,9074836.62982059
"1",255841.914583283,9074840.42706429
"1",255845.506570565,9074841.35071816
"1",255852.587916921,9074843.30065412
"1",255730.870862167,9074862.28687261
"1",255752.833298691,9074876.44956532
"1",255776.848299376,9074885.48084763
"1",255789.163684343,9074901.28559167
"1",255869.470257146,9074940.84876587
"1",255881.169872865,9074945.82623396
"1",255897.744328467,9074956.91008044
"1",255922.580354818,9074970.66226032
"1",255951.110996659,9074992.82995326
"1",255868.597917377,9074849.66360301
"1",255872.805673908,9074851.25434024
"1",255932.894489728,9074874.39700115
"1",255944.234906719,9074877.83504612
"1",255976.46016405,9074877.73241792
"1",256006.273658492,9074881.88886034
"1",256010.378786814,9074883.78748219
"1",256020.436351204,9074887.07158485
"1",256000.423850633,9075026.64594782
"1",256005.811831556,9075023.15658874
"1",256019.974524268,9075032.13655695
"1",256021.052120453,9075040.14155718
